iter	Logloss
0	0.6558367577
1	0.6237723986
2	0.5943904845
3	0.5674581114
4	0.5431763146
5	0.5227213841
6	0.5052579668
7	0.4889974651
8	0.4745081193
9	0.461695403
10	0.4499042635
11	0.4395536453
12	0.4306759337
13	0.4226495945
14	0.4152869599
15	0.4085034394
16	0.4027508337
17	0.3973591191
18	0.3932257029
19	0.388985679
20	0.3850970564
21	0.3816481995
22	0.3787998879
23	0.3762847626
24	0.3735581496
25	0.3712001831
26	0.3689536885
27	0.3671716497
28	0.3655732179
29	0.3638791095
30	0.3625323304
31	0.3610665833
32	0.3598283686
33	0.3585290827
34	0.3574021418
35	0.3564232907
36	0.3554302606
37	0.3545614552
38	0.3536252297
39	0.3527928305
40	0.352034818
41	0.3512793733
42	0.3505958045
43	0.3500221006
44	0.3494017996
45	0.3487927944
46	0.3482553486
47	0.347736856
48	0.3472136659
49	0.3466744541
50	0.3462237898
51	0.3458726623
52	0.3454351035
53	0.3451301009
54	0.3447322866
55	0.344429185
56	0.3440693869
57	0.343719093
58	0.3434359951
59	0.3431191677
60	0.3427955365
61	0.3425590322
62	0.3423455263
63	0.3420903451
64	0.3417972917
65	0.3416107269
66	0.3413606959
67	0.341153725
68	0.3408768263
69	0.3406748077
70	0.3404569721
71	0.3402467571
72	0.3401181933
73	0.3399247642
74	0.3397525609
75	0.3396556189
76	0.339441743
77	0.3393026974
78	0.3390966598
79	0.3389717659
80	0.3388186932
81	0.3386500882
82	0.3385002384
83	0.3383207742
84	0.3382014928
85	0.3380694693
86	0.3379177147
87	0.3377651455
88	0.3376273159
89	0.3374999574
90	0.3373631741
91	0.3372279198
92	0.3370950045
93	0.3369728252
94	0.3368690258
95	0.3367554561
96	0.3366517695
97	0.3365648017
98	0.3364301993
99	0.3363057244
100	0.336173528
101	0.3360822706
102	0.3359685735
103	0.335853882
104	0.3357593889
105	0.3356717848
106	0.3355430384
107	0.335433985
108	0.3353065447
109	0.3352167073
110	0.3351393252
111	0.3350506987
112	0.3349203461
113	0.3348001801
114	0.3346855195
115	0.3346584545
116	0.3345562872
117	0.3344575626
118	0.3343568023
119	0.3342056098
120	0.3341162118
121	0.3340338007
122	0.333912571
123	0.3338299051
124	0.3337212857
125	0.3336413461
126	0.3335767128
127	0.3335527063
128	0.3334805646
129	0.3333944468
130	0.333318608
131	0.3332191317
132	0.3331329653
133	0.333027706
134	0.3329159332
135	0.3328065404
136	0.3327333476
137	0.3326379188
138	0.3325553449
139	0.3324589572
140	0.3323780976
141	0.3322959675
142	0.3321975677
143	0.3321038012
144	0.3320020358
145	0.3318901855
146	0.3318321141
147	0.3317599732
148	0.331687328
149	0.3315956416
150	0.3315350036
151	0.3314502383
152	0.3313683203
153	0.3313009667
154	0.3312323281
155	0.3311467411
156	0.3310339102
157	0.3309402064
158	0.3308795678
159	0.3307585711
160	0.3306906946
161	0.3306024881
162	0.3305048785
163	0.3304175627
164	0.3303160025
165	0.3302338741
166	0.330178147
167	0.3301225687
168	0.330073437
169	0.329997614
170	0.3299475424
171	0.3298398702
172	0.3297468076
173	0.3296782707
174	0.3296095114
175	0.3295428099
176	0.3294773767
177	0.3294292005
178	0.3293710678
179	0.3292879606
180	0.3292029874
181	0.3291302836
182	0.3290523034
183	0.3289437192
184	0.328887518
185	0.3288294296
186	0.3287536291
187	0.3286971517
188	0.3286615772
189	0.3285705774
190	0.3284860596
191	0.3283837426
192	0.3282900883
193	0.3282022773
194	0.3281093876
195	0.3280393271
196	0.32801842
197	0.3279217398
198	0.3278696159
199	0.3277757998
200	0.3277289841
201	0.3276304493
202	0.327570663
203	0.3275210465
204	0.3274679915
205	0.3273880412
206	0.3272799202
207	0.3272160374
208	0.327127477
209	0.3270490185
210	0.326991245
211	0.3269243872
212	0.3268106209
213	0.3267463612
214	0.3266497642
215	0.3265540708
216	0.3265020054
217	0.3264140414
218	0.3263513623
219	0.326276404
220	0.3261863216
221	0.326110363
222	0.3260533898
223	0.3259868952
224	0.3259014184
225	0.3258273415
226	0.3257661169
227	0.3256775404
228	0.3256078657
229	0.325553818
230	0.3254746286
231	0.3253866388
232	0.3253263552
233	0.3252429519
234	0.3251524328
235	0.3250721426
236	0.3250328933
237	0.3249785279
238	0.3249148226
239	0.3248522591
240	0.3247776852
241	0.3246943009
242	0.3246082791
243	0.3245001011
244	0.3244450041
245	0.3243901699
246	0.3243336793
247	0.3242767253
248	0.324189436
249	0.3241241086
250	0.3240417378
251	0.3239871172
252	0.3239056322
253	0.3238337031
254	0.3237514666
255	0.3236787613
256	0.3235888642
257	0.323508778
258	0.323466568
259	0.3234094304
260	0.3233444982
261	0.3232474056
262	0.3231995753
263	0.3231231715
264	0.3230694414
265	0.3229890308
266	0.3229272415
267	0.3228873186
268	0.3228046516
269	0.3227191721
270	0.3226321819
271	0.3225821951
272	0.3225191792
273	0.3224688759
274	0.3224034904
275	0.3223236477
276	0.322247658
277	0.3221813258
278	0.3221479626
279	0.3220936745
280	0.3220222496
281	0.3219616955
282	0.3218898802
283	0.3218234176
284	0.3217568489
285	0.3216633811
286	0.3215646283
287	0.3214916392
288	0.3214004939
289	0.3213424004
290	0.3212891469
291	0.321244993
292	0.3211719611
293	0.3210913788
294	0.3210390929
295	0.3209943379
296	0.3209614914
297	0.3209100076
298	0.3208380043
299	0.3207747857
300	0.3207281116
301	0.3206480001
302	0.3205741698
303	0.3205034906
304	0.3204419183
305	0.3203752983
306	0.3203123075
307	0.320259801
308	0.3201746881
309	0.3200991602
310	0.3200171188
311	0.3199217825
312	0.3198481408
313	0.3197698
314	0.3197282927
315	0.3196806855
316	0.3196257772
317	0.3195672994
318	0.3195091399
319	0.3194336031
320	0.3193481536
321	0.3192921108
322	0.3192414417
323	0.3191892945
324	0.3191475509
325	0.3190962415
326	0.3190454303
327	0.3189679547
328	0.3188904445
329	0.3188401224
330	0.3187722554
331	0.3186893819
332	0.3186309658
333	0.3185710747
334	0.3184824516
335	0.3183833053
336	0.31830264
337	0.3182719663
338	0.3181956655
339	0.3181443912
340	0.3180660919
341	0.3180209844
342	0.3179529429
343	0.3178855288
344	0.3178118849
345	0.3177543489
346	0.3176798532
347	0.3176291387
348	0.3175820103
349	0.3175088178
350	0.3174595726
351	0.3174093898
352	0.3173569037
353	0.3173101869
354	0.317234588
355	0.3171661554
356	0.3171180682
357	0.3170488953
358	0.3170152003
359	0.3169705135
360	0.3169070972
361	0.3168376367
362	0.31679454
363	0.3167087403
364	0.3166352321
365	0.3165756418
366	0.3164934976
367	0.3164286556
368	0.31635369
369	0.3162782817
370	0.3162001838
371	0.3161447022
372	0.3160709233
373	0.3160265
374	0.3159936853
375	0.3159201299
376	0.3158538838
377	0.3158097721
378	0.3157409808
379	0.3156745773
380	0.3155699194
381	0.3155020518
382	0.3154567819
383	0.3153766595
384	0.3153152488
385	0.3152635904
386	0.3151642065
387	0.315086759
388	0.3150222656
389	0.3149659552
390	0.3149090886
391	0.3148565954
392	0.3147982985
393	0.3147592674
394	0.31466983
395	0.3145886928
396	0.3145225367
397	0.3144361027
398	0.3143758398
399	0.3142956206
400	0.314263134
401	0.3141931804
402	0.3141318305
403	0.3140624074
404	0.3140077813
405	0.3139465266
406	0.3138969014
407	0.3138325208
408	0.313786202
409	0.3137478114
410	0.3136809303
411	0.3136015531
412	0.3135245608
413	0.3134577398
414	0.3134092785
415	0.3133379027
416	0.3132676104
417	0.3131856916
418	0.3131243107
419	0.3130776544
420	0.3130202616
421	0.3129594424
422	0.3128949377
423	0.3128315705
424	0.3127744315
425	0.3126847925
426	0.3126173293
427	0.31256012
428	0.3124914453
429	0.3124276551
430	0.3123806913
431	0.3123195004
432	0.3122786687
433	0.3122174873
434	0.3121382259
435	0.3120820328
436	0.3120137537
437	0.3119519366
438	0.3118747134
439	0.3118144727
440	0.3117430224
441	0.3116938513
442	0.3116428122
443	0.3115899402
444	0.3115141529
445	0.3114649596
446	0.311405669
447	0.3113383056
448	0.31125775
449	0.3111636905
450	0.3111030615
451	0.311052446
452	0.3109966891
453	0.3109407361
454	0.3108652866
455	0.3108032623
456	0.3107555193
457	0.310704216
458	0.3106328095
459	0.3105929182
460	0.31052099
461	0.3104661043
462	0.310399189
463	0.3103356008
464	0.3102778601
465	0.3102021246
466	0.3101218909
467	0.3100650995
468	0.3100117543
469	0.309962219
470	0.3098820397
471	0.3098178771
472	0.3097529405
473	0.3097040483
474	0.3096504073
475	0.3095902177
476	0.309513372
477	0.3094460083
478	0.3093829683
479	0.3093196761
480	0.30927087
481	0.309200484
482	0.3091260954
483	0.3090769473
484	0.3090214728
485	0.3089753315
486	0.3089248852
487	0.308873538
488	0.3088176119
489	0.3087690623
490	0.3087294806
491	0.3086844384
492	0.3086161228
493	0.3085504062
494	0.3084806049
495	0.3084145166
496	0.3083576417
497	0.3083175009
498	0.308261308
499	0.3082072938
500	0.3081578401
501	0.3081030054
502	0.3080249645
503	0.3079650309
504	0.3078886153
505	0.3078253242
506	0.3077827954
507	0.3077242761
508	0.307667554
509	0.3076161224
510	0.3075356097
511	0.3074787032
512	0.3074419746
513	0.3073933552
514	0.3073444774
515	0.3072990177
516	0.3072444548
517	0.3071740873
518	0.3071275785
519	0.3070747458
520	0.3070073793
521	0.3069546751
522	0.3069132536
523	0.3068542224
524	0.3067850393
525	0.3067172192
526	0.3066739452
527	0.3066194062
528	0.3065582969
529	0.3064922964
530	0.3064466356
531	0.3064019551
532	0.3063369166
533	0.3062549788
534	0.3062051315
535	0.3061545315
536	0.3061224338
537	0.3060661835
538	0.3060203728
539	0.3059849913
540	0.3059460819
541	0.3058786765
542	0.3058331562
543	0.3057945134
544	0.3057395009
545	0.305685604
546	0.3056277132
547	0.3055792748
548	0.3055313956
549	0.3054476733
550	0.3053910868
551	0.3053351282
552	0.3052648697
553	0.3052157462
554	0.3051821884
555	0.3051297432
556	0.3050755567
557	0.3050123284
558	0.3049494052
559	0.3049055212
560	0.3048566965
561	0.3048158074
562	0.3047748455
563	0.3047120892
564	0.3046857338
565	0.3046430467
566	0.3045933148
567	0.3045541241
568	0.3045018185
569	0.3044516948
570	0.3043798124
571	0.3043065668
572	0.3042712662
573	0.3042292317
574	0.3041690852
