iter	Passed	Remaining
0	2	2947
1	5	2668
2	7	2518
3	9	2485
4	12	2474
5	14	2476
6	17	2420
7	19	2408
8	21	2394
9	24	2379
10	26	2367
11	28	2361
12	30	2350
13	33	2348
14	35	2341
15	38	2343
16	40	2341
17	42	2338
18	45	2329
19	47	2325
20	49	2322
21	52	2313
22	54	2311
23	56	2310
24	59	2307
25	61	2304
26	63	2301
27	66	2300
28	68	2296
29	70	2294
30	73	2290
31	75	2285
32	77	2276
33	80	2273
34	82	2266
35	84	2265
36	86	2263
37	89	2262
38	91	2260
39	94	2256
40	96	2255
41	98	2253
42	101	2250
43	103	2247
44	105	2243
45	108	2241
46	110	2239
47	112	2236
48	115	2234
49	117	2228
50	119	2225
51	121	2220
52	124	2218
53	126	2215
54	128	2212
55	131	2209
56	133	2206
57	135	2204
58	138	2202
59	140	2200
60	142	2198
61	145	2194
62	147	2191
63	149	2189
64	151	2186
65	154	2180
66	156	2175
67	158	2173
68	160	2172
69	163	2169
70	165	2167
71	168	2165
72	169	2155
73	172	2153
74	174	2152
75	176	2148
76	179	2146
77	181	2143
78	183	2142
79	186	2140
80	188	2138
81	190	2136
82	193	2133
83	195	2131
84	198	2134
85	200	2134
86	203	2135
87	206	2135
88	208	2136
89	211	2137
90	214	2139
91	217	2143
92	219	2144
93	222	2140
94	224	2137
95	226	2135
96	228	2130
97	231	2128
98	233	2124
99	235	2122
100	238	2119
101	240	2117
102	242	2114
103	245	2111
104	247	2108
105	249	2105
106	252	2103
107	254	2100
108	256	2098
109	259	2097
110	261	2096
111	264	2095
112	267	2096
113	269	2095
114	272	2093
115	273	2085
116	276	2083
117	278	2081
118	280	2079
119	283	2077
120	285	2074
121	287	2072
122	290	2070
123	292	2067
124	294	2062
125	296	2059
126	299	2056
127	300	2048
128	303	2045
129	305	2043
130	307	2040
131	309	2038
132	312	2035
133	314	2033
134	316	2030
135	319	2028
136	321	2025
137	323	2023
138	326	2021
139	328	2018
140	330	2015
141	333	2013
142	335	2011
143	337	2008
144	340	2006
145	342	2004
146	344	2001
147	347	1998
148	349	1996
149	351	1993
150	354	1990
151	356	1988
152	358	1986
153	360	1982
154	363	1979
155	365	1977
156	367	1975
157	370	1972
158	372	1970
159	374	1965
160	376	1963
161	378	1960
162	381	1957
163	383	1955
164	385	1952
165	388	1950
166	390	1948
167	393	1947
168	396	1948
169	398	1947
170	401	1945
171	404	1945
172	408	1954
173	412	1957
174	416	1961
175	418	1960
176	421	1958
177	424	1960
178	427	1959
179	429	1958
180	432	1956
181	434	1953
182	437	1952
183	439	1949
184	442	1947
185	444	1945
186	446	1942
187	448	1938
188	451	1936
189	453	1933
190	456	1931
191	458	1929
192	460	1926
193	463	1924
194	465	1922
195	467	1919
196	469	1914
197	471	1911
198	473	1906
199	475	1903
200	478	1901
201	480	1898
202	483	1896
203	485	1893
204	487	1891
205	489	1888
206	492	1886
207	494	1883
208	496	1880
209	499	1878
210	501	1875
211	503	1872
212	506	1870
213	508	1868
214	510	1865
215	513	1862
216	515	1859
217	517	1857
218	520	1854
219	522	1852
220	524	1849
221	527	1847
222	529	1844
223	531	1841
224	534	1840
225	536	1837
226	539	1835
227	541	1833
228	543	1831
229	546	1829
230	548	1827
231	551	1825
232	553	1822
233	556	1820
234	558	1818
235	560	1815
236	563	1813
